Labour market region (SA4): ASGS (2011),Month,Age,Sex,Sum of Employment to population rate (%)
Perth - South West,2022/12/01,25-34 years,Females,78.35163103
Perth - South West,2022/12/01,35-44 years,Males,92.70829349
Perth - South West,2022/12/01,35-44 years,Females,78.65745508
Perth - South West,2022/12/01,45-54 years,Males,89.3498308
Perth - South West,2022/12/01,45-54 years,Females,81.15405716
Perth - South West,2022/12/01,55-64 years,Males,80.18216633
Perth - South West,2022/12/01,55-64 years,Females,65.66315021
Perth - South West,2022/12/01,65 years and over,Males,23.08152023
Perth - South West,2022/12/01,65 years and over,Females,13.08585773
Perth - South West,2022/11/01,15-24 years,Males,67.99102148
Perth - South West,2022/11/01,15-24 years,Females,70.44252067
Perth - South West,2022/11/01,25-34 years,Males,90.95728055
Perth - South West,2022/11/01,25-34 years,Females,78.01176247
Perth - South West,2022/11/01,35-44 years,Males,92.49580922
Perth - South West,2022/11/01,35-44 years,Females,78.59336386
Perth - South West,2022/11/01,45-54 years,Males,89.29350607
Perth - South West,2022/11/01,45-54 years,Females,80.87881937
Perth - South West,2022/11/01,55-64 years,Males,80.23552897
Perth - South West,2022/11/01,55-64 years,Females,65.63875249
Perth - South West,2022/11/01,65 years and over,Males,23.13578044
Perth - South West,2022/11/01,65 years and over,Females,12.90502042
Perth - South West,2022/10/01,15-24 years,Males,66.68632662
Perth - South West,2022/10/01,15-24 years,Females,68.91794248
Perth - South West,2022/10/01,25-34 years,Males,90.67753055
Perth - South West,2022/10/01,25-34 years,Females,77.452235
Perth - South West,2022/10/01,35-44 years,Males,92.20099004
Perth - South West,2022/10/01,35-44 years,Females,78.28511543
Perth - South West,2022/10/01,45-54 years,Males,89.22978242
Perth - South West,2022/10/01,45-54 years,Females,80.35973565
Perth - South West,2022/10/01,55-64 years,Males,79.87089817
Perth - South West,2022/10/01,55-64 years,Females,65.25489223
Perth - South West,2022/10/01,65 years and over,Males,22.598209
Perth - South West,2022/10/01,65 years and over,Females,12.49220467
Perth - South West,2022/09/01,15-24 years,Males,66.25846019
Perth - South West,2022/09/01,15-24 years,Females,68.48150101
Perth - South West,2022/09/01,25-34 years,Males,90.34345062
Perth - South West,2022/09/01,25-34 years,Females,77.47321588
Perth - South West,2022/09/01,35-44 years,Males,91.90151196
Perth - South West,2022/09/01,35-44 years,Females,78.73527945
Perth - South West,2022/09/01,45-54 years,Males,89.35068104
Perth - South West,2022/09/01,45-54 years,Females,80.3437558
Perth - South West,2022/09/01,55-64 years,Males,80.0834983
Perth - South West,2022/09/01,55-64 years,Females,65.70248324
Perth - South West,2022/09/01,65 years and over,Males,22.90643844
Perth - South West,2022/09/01,65 years and over,Females,12.7384602
Perth - South West,2022/08/01,15-24 years,Males,65.58474246
Perth - South West,2022/08/01,15-24 years,Females,69.4623907
Perth - South West,2022/08/01,25-34 years,Males,90.55939211
Perth - South West,2022/08/01,25-34 years,Females,78.23413607
Perth - South West,2022/08/01,35-44 years,Males,92.04283981
Perth - South West,2022/08/01,35-44 years,Females,79.43063845
Perth - South West,2022/08/01,45-54 years,Males,89.86412503
Perth - South West,2022/08/01,45-54 years,Females,80.68345825
Perth - South West,2022/08/01,55-64 years,Males,80.45465762
Perth - South West,2022/08/01,55-64 years,Females,66.54539834
Perth - South West,2022/08/01,65 years and over,Males,23.45132955
Perth - South West,2022/08/01,65 years and over,Females,13.09274521
Perth - South West,2022/07/01,15-24 years,Males,65.78178225
Perth - South West,2022/07/01,15-24 years,Females,69.89907256
Perth - South West,2022/07/01,25-34 years,Males,90.21738028
Perth - South West,2022/07/01,25-34 years,Females,78.21913656
Perth - South West,2022/07/01,35-44 years,Males,91.7669733
Perth - South West,2022/07/01,35-44 years,Females,79.09796979
Perth - South West,2022/07/01,45-54 years,Males,89.93301056
Perth - South West,2022/07/01,45-54 years,Females,80.38848462
Perth - South West,2022/07/01,55-64 years,Males,80.31017704
Perth - South West,2022/07/01,55-64 years,Females,66.37684296
Perth - South West,2022/07/01,65 years and over,Males,23.3634627
Perth - South West,2022/07/01,65 years and over,Females,12.90950626
Perth - South West,2022/06/01,15-24 years,Males,66.10638818
Perth - South West,2022/06/01,15-24 years,Females,70.10225982
Perth - South West,2022/06/01,25-34 years,Males,90.09867807
Perth - South West,2022/06/01,25-34 years,Females,78.28406328
Perth - South West,2022/06/01,35-44 years,Males,91.75212796
Perth - South West,2022/06/01,35-44 years,Females,79.05437082
Perth - South West,2022/06/01,45-54 years,Males,90.12721965
Perth - South West,2022/06/01,45-54 years,Females,80.24849275
Perth - South West,2022/06/01,55-64 years,Males,80.31663213
Perth - South West,2022/06/01,55-64 years,Females,66.34518523
Perth - South West,2022/06/01,65 years and over,Males,23.39358977
Perth - South West,2022/06/01,65 years and over,Females,12.852258
Perth - South West,2022/05/01,15-24 years,Males,67.05911323
Perth - South West,2022/05/01,15-24 years,Females,71.09592729
Perth - South West,2022/05/01,25-34 years,Males,90.23387827
Perth - South West,2022/05/01,25-34 years,Females,78.37834073
Perth - South West,2022/05/01,35-44 years,Males,91.96893045
Perth - South West,2022/05/01,35-44 years,Females,79.42050155
Perth - South West,2022/05/01,45-54 years,Males,90.47102493
Perth - South West,2022/05/01,45-54 years,Females,80.49258095
Perth - South West,2022/05/01,55-64 years,Males,80.54945112
Perth - South West,2022/05/01,55-64 years,Females,66.72400961
Perth - South West,2022/05/01,65 years and over,Males,23.66624203
Perth - South West,2022/05/01,65 years and over,Females,12.80736298
Perth - South West,2022/04/01,15-24 years,Males,67.17405298
Perth - South West,2022/04/01,15-24 years,Females,71.71037631
Perth - South West,2022/04/01,25-34 years,Males,90.36193464
Perth - South West,2022/04/01,25-34 years,Females,78.07074411
Perth - South West,2022/04/01,35-44 years,Males,91.94641503
Perth - South West,2022/04/01,35-44 years,Females,79.23587907
Perth - South West,2022/04/01,45-54 years,Males,90.59393517
Perth - South West,2022/04/01,45-54 years,Females,80.3023999
Perth - South West,2022/04/01,55-64 years,Males,80.3280457
Perth - South West,2022/04/01,55-64 years,Females,66.48569989
Perth - South West,2022/04/01,65 years and over,Males,23.38959135
Perth - South West,2022/04/01,65 years and over,Females,12.46031791
Perth - South West,2022/03/01,15-24 years,Males,66.32726281
Perth - South West,2022/03/01,15-24 years,Females,71.71753489
Perth - South West,2022/03/01,25-34 years,Males,89.91123224
Perth - South West,2022/03/01,25-34 years,Females,77.81038887
Perth - South West,2022/03/01,35-44 years,Males,91.58068325
Perth - South West,2022/03/01,35-44 years,Females,78.92537361
Perth - South West,2022/03/01,45-54 years,Males,90.44311035
Perth - South West,2022/03/01,45-54 years,Females,80.20533421
Perth - South West,2022/03/01,55-64 years,Males,80.10818117
Perth - South West,2022/03/01,55-64 years,Females,66.35118753
Perth - South West,2022/03/01,65 years and over,Males,23.47772533
Perth - South West,2022/03/01,65 years and over,Females,12.36511145
Perth - South West,2022/02/01,15-24 years,Males,65.24199481
Perth - South West,2022/02/01,15-24 years,Females,71.37607859
Perth - South West,2022/02/01,25-34 years,Males,89.26985975
Perth - South West,2022/02/01,25-34 years,Females,77.4649599
Perth - South West,2022/02/01,35-44 years,Males,91.27188953
Perth - South West,2022/02/01,35-44 years,Females,78.52741171
Perth - South West,2022/02/01,45-54 years,Males,90.24011444
Perth - South West,2022/02/01,45-54 years,Females,80.18126071
Perth - South West,2022/02/01,55-64 years,Males,80.01000203
Perth - South West,2022/02/01,55-64 years,Females,66.32354078
Perth - South West,2022/02/01,65 years and over,Males,23.94532474
Perth - South West,2022/02/01,65 years and over,Females,12.45776762
Perth - South West,2022/01/01,15-24 years,Males,64.75722534
Perth - South West,2022/01/01,15-24 years,Females,71.5817535
Perth - South West,2022/01/01,25-34 years,Males,89.39415565
Perth - South West,2022/01/01,25-34 years,Females,76.7154464
Perth - South West,2022/01/01,35-44 years,Males,91.33632752
Perth - South West,2022/01/01,35-44 years,Females,77.23292179
Perth - South West,2022/01/01,45-54 years,Males,90.03105032
Perth - South West,2022/01/01,45-54 years,Females,79.6937431
Perth - South West,2022/01/01,55-64 years,Males,79.25553554
Perth - South West,2022/01/01,55-64 years,Females,64.88425779
Perth - South West,2022/01/01,65 years and over,Males,23.12081436
Perth - South West,2022/01/01,65 years and over,Females,11.7829444
Perth - South West,2021/12/01,15-24 years,Males,67.73809052
Perth - South West,2021/12/01,15-24 years,Females,72.96466921
Perth - South West,2021/12/01,25-34 years,Males,90.55889363
Perth - South West,2021/12/01,25-34 years,Females,77.62410853
Perth - South West,2021/12/01,35-44 years,Males,92.19008779
Perth - South West,2021/12/01,35-44 years,Females,78.11078129
Perth - South West,2021/12/01,45-54 years,Males,90.7328894
Perth - South West,2021/12/01,45-54 years,Females,80.58445936
Perth - South West,2021/12/01,55-64 years,Males,79.90236006
Perth - South West,2021/12/01,55-64 years,Females,65.64931194
Perth - South West,2021/12/01,65 years and over,Males,23.81554341
Perth - South West,2021/12/01,65 years and over,Females,12.08821213
Perth - South West,2021/11/01,15-24 years,Males,66.04093419
Perth - South West,2021/11/01,15-24 years,Females,70.96292036
Perth - South West,2021/11/01,25-34 years,Males,90.15741016
Perth - South West,2021/11/01,25-34 years,Females,76.95470487
Perth - South West,2021/11/01,35-44 years,Males,91.98628342
Perth - South West,2021/11/01,35-44 years,Females,77.71216874
Perth - South West,2021/11/01,45-54 years,Males,90.42357373
Perth - South West,2021/11/01,45-54 years,Females,80.4501644
Perth - South West,2021/11/01,55-64 years,Males,79.58651946
Perth - South West,2021/11/01,55-64 years,Females,65.58678832
Perth - South West,2021/11/01,65 years and over,Males,23.9134909
Perth - South West,2021/11/01,65 years and over,Females,12.21460986
Perth - South West,2021/10/01,15-24 years,Males,64.10565293
Perth - South West,2021/10/01,15-24 years,Females,68.41746555
Perth - South West,2021/10/01,25-34 years,Males,89.80238123
Perth - South West,2021/10/01,25-34 years,Females,75.82269099
Perth - South West,2021/10/01,35-44 years,Males,91.6955808
Perth - South West,2021/10/01,35-44 years,Females,76.57622285
Perth - South West,2021/10/01,45-54 years,Males,89.95341232
Perth - South West,2021/10/01,45-54 years,Females,79.76242396
Perth - South West,2021/10/01,55-64 years,Males,78.79968242
Perth - South West,2021/10/01,55-64 years,Females,64.70975109
Perth - South West,2021/10/01,65 years and over,Males,23.08880628
Perth - South West,2021/10/01,65 years and over,Females,11.84616242
Perth - South West,2021/09/01,15-24 years,Males,63.35998343
Perth - South West,2021/09/01,15-24 years,Females,67.14962567
Perth - South West,2021/09/01,25-34 years,Males,89.34370663
Perth - South West,2021/09/01,25-34 years,Females,75.59166091
Perth - South West,2021/09/01,35-44 years,Males,91.30401575
Perth - South West,2021/09/01,35-44 years,Females,76.3003734
Perth - South West,2021/09/01,45-54 years,Males,89.60440561
Perth - South West,2021/09/01,45-54 years,Females,79.65229398
Perth - South West,2021/09/01,55-64 years,Males,78.74033812
Perth - South West,2021/09/01,55-64 years,Females,64.7997709
Perth - South West,2021/09/01,65 years and over,Males,23.06646252
Perth - South West,2021/09/01,65 years and over,Females,12.12273093
Perth - South West,2021/08/01,15-24 years,Males,63.36834341
Perth - South West,2021/08/01,15-24 years,Females,67.61568249
Perth - South West,2021/08/01,25-34 years,Males,89.12885415
Perth - South West,2021/08/01,25-34 years,Females,75.46799347
Perth - South West,2021/08/01,35-44 years,Males,91.23242949
Perth - South West,2021/08/01,35-44 years,Females,76.20427776
Perth - South West,2021/08/01,45-54 years,Males,89.15367518
Perth - South West,2021/08/01,45-54 years,Females,79.43256904
Perth - South West,2021/08/01,55-64 years,Males,78.64279293
Perth - South West,2021/08/01,55-64 years,Females,64.664316
Perth - South West,2021/08/01,65 years and over,Males,22.91176143
Perth - South West,2021/08/01,65 years and over,Females,12.3097493
Perth - South West,2021/07/01,15-24 years,Males,63.6992555
Perth - South West,2021/07/01,15-24 years,Females,68.32156059
Perth - South West,2021/07/01,25-34 years,Males,89.18562811
Perth - South West,2021/07/01,25-34 years,Females,74.73204596
Perth - South West,2021/07/01,35-44 years,Males,91.29549136
Perth - South West,2021/07/01,35-44 years,Females,75.66802264
Perth - South West,2021/07/01,45-54 years,Males,88.48642223
Perth - South West,2021/07/01,45-54 years,Females,78.88447357
Perth - South West,2021/07/01,55-64 years,Males,78.07500818
Perth - South West,2021/07/01,55-64 years,Females,63.7439452
Perth - South West,2021/07/01,65 years and over,Males,22.08714241
Perth - South West,2021/07/01,65 years and over,Females,12.02310023
Perth - South West,2021/06/01,15-24 years,Males,63.47759796
Perth - South West,2021/06/01,15-24 years,Females,68.15915565
Perth - South West,2021/06/01,25-34 years,Males,89.13878823
Perth - South West,2021/06/01,25-34 years,Females,74.28829043
Perth - South West,2021/06/01,35-44 years,Males,91.30884132
Perth - South West,2021/06/01,35-44 years,Females,75.59798824
Perth - South West,2021/06/01,45-54 years,Males,87.97903126
Perth - South West,2021/06/01,45-54 years,Females,78.65217598
Perth - South West,2021/06/01,55-64 years,Males,78.13739258
Perth - South West,2021/06/01,55-64 years,Females,63.43419106
Perth - South West,2021/06/01,65 years and over,Males,21.82468963
Perth - South West,2021/06/01,65 years and over,Females,12.11316519
Perth - South West,2021/05/01,15-24 years,Males,63.23948066
Perth - South West,2021/05/01,15-24 years,Females,68.42696737
Perth - South West,2021/05/01,25-34 years,Males,89.28930388
Perth - South West,2021/05/01,25-34 years,Females,74.13452587
Perth - South West,2021/05/01,35-44 years,Males,91.4151844
Perth - South West,2021/05/01,35-44 years,Females,75.53152862
Perth - South West,2021/05/01,45-54 years,Males,87.866761
Perth - South West,2021/05/01,45-54 years,Females,78.72534714
Perth - South West,2021/05/01,55-64 years,Males,78.24131922
Perth - South West,2021/05/01,55-64 years,Females,63.24442644
Perth - South West,2021/05/01,65 years and over,Males,21.65429837
Perth - South West,2021/05/01,65 years and over,Females,12.17205785
Perth - South West,2021/04/01,15-24 years,Males,62.50213354
Perth - South West,2021/04/01,15-24 years,Females,67.37807259
Perth - South West,2021/04/01,25-34 years,Males,89.11527992
Perth - South West,2021/04/01,25-34 years,Females,73.5823174
Perth - South West,2021/04/01,35-44 years,Males,91.27533023
Perth - South West,2021/04/01,35-44 years,Females,74.742359
Perth - South West,2021/04/01,45-54 years,Males,87.63246247
Perth - South West,2021/04/01,45-54 years,Females,78.50264745
Perth - South West,2021/04/01,55-64 years,Males,78.00338455
Perth - South West,2021/04/01,55-64 years,Females,62.26031744
Perth - South West,2021/04/01,65 years and over,Males,21.02172164
Perth - South West,2021/04/01,65 years and over,Females,11.91254137
Perth - South West,2021/03/01,15-24 years,Males,62.04170315
Perth - South West,2021/03/01,15-24 years,Females,67.32751747
Perth - South West,2021/03/01,25-34 years,Males,89.1231455
Perth - South West,2021/03/01,25-34 years,Females,73.55809348
Perth - South West,2021/03/01,35-44 years,Males,91.26808103
Perth - South West,2021/03/01,35-44 years,Females,74.93342089
Perth - South West,2021/03/01,45-54 years,Males,87.77044222
Perth - South West,2021/03/01,45-54 years,Females,78.89532294
Perth - South West,2021/03/01,55-64 years,Males,78.28640958
Perth - South West,2021/03/01,55-64 years,Females,62.36909963
Perth - South West,2021/03/01,65 years and over,Males,21.35421986
Perth - South West,2021/03/01,65 years and over,Females,12.20711999
Perth - South West,2021/02/01,15-24 years,Males,59.79133756
Perth - South West,2021/02/01,15-24 years,Females,65.2578534
Perth - South West,2021/02/01,25-34 years,Males,87.89577072
Perth - South West,2021/02/01,25-34 years,Females,71.85144628
Perth - South West,2021/02/01,35-44 years,Males,90.58875932
Perth - South West,2021/02/01,35-44 years,Females,73.50271349
Perth - South West,2021/02/01,45-54 years,Males,86.97268416
Perth - South West,2021/02/01,45-54 years,Females,77.73564537
Perth - South West,2021/02/01,55-64 years,Males,77.24473234
Perth - South West,2021/02/01,55-64 years,Females,60.49202536
Perth - South West,2021/02/01,65 years and over,Males,20.57121549
Perth - South West,2021/02/01,65 years and over,Females,11.71432135
Perth - South West,2021/01/01,15-24 years,Males,58.57033899
Perth - South West,2021/01/01,15-24 years,Females,63.69102828
Perth - South West,2021/01/01,25-34 years,Males,87.10861934
Perth - South West,2021/01/01,25-34 years,Females,70.67569291
Perth - South West,2021/01/01,35-44 years,Males,90.18441695
Perth - South West,2021/01/01,35-44 years,Females,72.63289499
Perth - South West,2021/01/01,45-54 years,Males,86.55457309
Perth - South West,2021/01/01,45-54 years,Females,76.89426476
Perth - South West,2021/01/01,55-64 years,Males,76.65109595
Perth - South West,2021/01/01,55-64 years,Females,59.03243129
Perth - South West,2021/01/01,65 years and over,Males,19.96233704
Perth - South West,2021/01/01,65 years and over,Females,11.33124027
Perth - South West,2020/12/01,15-24 years,Males,60.93877001
Perth - South West,2020/12/01,15-24 years,Females,66.08285278
Perth - South West,2020/12/01,25-34 years,Males,88.15805558
Perth - South West,2020/12/01,25-34 years,Females,72.47567955
Perth - South West,2020/12/01,35-44 years,Males,91.03050192
Perth - South West,2020/12/01,35-44 years,Females,74.82442111
Perth - South West,2020/12/01,45-54 years,Males,87.91919591
Perth - South West,2020/12/01,45-54 years,Females,78.61159879
Perth - South West,2020/12/01,55-64 years,Males,78.47187323
Perth - South West,2020/12/01,55-64 years,Females,60.69963474
Perth - South West,2020/12/01,65 years and over,Males,20.96449414
Perth - South West,2020/12/01,65 years and over,Females,12.09629202
Perth - South West,2020/11/01,15-24 years,Males,59.79218947
Perth - South West,2020/11/01,15-24 years,Females,65.06887038
Perth - South West,2020/11/01,25-34 years,Males,87.61308763
Perth - South West,2020/11/01,25-34 years,Females,71.94386144
Perth - South West,2020/11/01,35-44 years,Males,90.75691877
Perth - South West,2020/11/01,35-44 years,Females,74.6488282
Perth - South West,2020/11/01,45-54 years,Males,88.13892619
Perth - South West,2020/11/01,45-54 years,Females,78.56006749
Perth - South West,2020/11/01,55-64 years,Males,78.57940048
Perth - South West,2020/11/01,55-64 years,Females,60.45948701
Perth - South West,2020/11/01,65 years and over,Males,20.96568135
Perth - South West,2020/11/01,65 years and over,Females,12.11564723
Perth - South West,2020/10/01,15-24 years,Males,58.37932686
Perth - South West,2020/10/01,15-24 years,Females,64.07815786
Perth - South West,2020/10/01,25-34 years,Males,86.56561696
Perth - South West,2020/10/01,25-34 years,Females,70.86727498
Perth - South West,2020/10/01,35-44 years,Males,90.19445179
Perth - South West,2020/10/01,35-44 years,Females,74.00309697
Perth - South West,2020/10/01,45-54 years,Males,87.99197293
Perth - South West,2020/10/01,45-54 years,Females,78.09533663
Perth - South West,2020/10/01,55-64 years,Males,77.93285533
Perth - South West,2020/10/01,55-64 years,Females,59.44922129
Perth - South West,2020/10/01,65 years and over,Males,20.49169763
Perth - South West,2020/10/01,65 years and over,Females,11.73031966
Perth - South West,2020/09/01,15-24 years,Males,56.86457357
Perth - South West,2020/09/01,15-24 years,Females,63.21033252
Perth - South West,2020/09/01,25-34 years,Males,85.33826235
Perth - South West,2020/09/01,25-34 years,Females,70.46490461
Perth - South West,2020/09/01,35-44 years,Males,89.69335598
Perth - South West,2020/09/01,35-44 years,Females,73.47775917
Perth - South West,2020/09/01,45-54 years,Males,87.8770705
Perth - South West,2020/09/01,45-54 years,Females,77.67794792
Perth - South West,2020/09/01,55-64 years,Males,77.17772283
Perth - South West,2020/09/01,55-64 years,Females,58.67748054
Perth - South West,2020/09/01,65 years and over,Males,20.3777774
Perth - South West,2020/09/01,65 years and over,Females,11.53327006
Perth - South West,2020/08/01,15-24 years,Males,56.3738933
Perth - South West,2020/08/01,15-24 years,Females,62.66538388
Perth - South West,2020/08/01,25-34 years,Males,84.92273855
Perth - South West,2020/08/01,25-34 years,Females,70.58279383
Perth - South West,2020/08/01,35-44 years,Males,89.42411517
Perth - South West,2020/08/01,35-44 years,Females,73.70344335
Perth - South West,2020/08/01,45-54 years,Males,88.06674341
Perth - South West,2020/08/01,45-54 years,Females,77.6453092
Perth - South West,2020/08/01,55-64 years,Males,76.87149244
Perth - South West,2020/08/01,55-64 years,Females,58.55610824
Perth - South West,2020/08/01,65 years and over,Males,20.7397438
Perth - South West,2020/08/01,65 years and over,Females,11.57805765
Perth - South West,2020/07/01,15-24 years,Males,54.27358914
Perth - South West,2020/07/01,15-24 years,Females,59.96372293
Perth - South West,2020/07/01,25-34 years,Males,83.15049284
Perth - South West,2020/07/01,25-34 years,Females,69.2127623
Perth - South West,2020/07/01,35-44 years,Males,88.41844906
Perth - South West,2020/07/01,35-44 years,Females,72.27385165
Perth - South West,2020/07/01,45-54 years,Males,87.2251488
Perth - South West,2020/07/01,45-54 years,Females,76.39578942
Perth - South West,2020/07/01,55-64 years,Males,75.4324581
Perth - South West,2020/07/01,55-64 years,Females,57.09458883
Perth - South West,2020/07/01,65 years and over,Males,20.48811952
Perth - South West,2020/07/01,65 years and over,Females,11.34603351
Perth - South West,2020/06/01,15-24 years,Males,53.18439389
Perth - South West,2020/06/01,15-24 years,Females,58.35541549
Perth - South West,2020/06/01,25-34 years,Males,83.01246475
Perth - South West,2020/06/01,25-34 years,Females,68.82632767
Perth - South West,2020/06/01,35-44 years,Males,88.51602125
Perth - South West,2020/06/01,35-44 years,Females,71.90309959
Perth - South West,2020/06/01,45-54 years,Males,86.9659012
Perth - South West,2020/06/01,45-54 years,Females,75.91315725
Perth - South West,2020/06/01,55-64 years,Males,74.70906726
Perth - South West,2020/06/01,55-64 years,Females,56.16876997
Perth - South West,2020/06/01,65 years and over,Males,20.09372273
Perth - South West,2020/06/01,65 years and over,Females,11.07629919
Perth - South West,2020/05/01,15-24 years,Males,51.45486108
Perth - South West,2020/05/01,15-24 years,Females,56.72613575
Perth - South West,2020/05/01,25-34 years,Males,82.80241248
Perth - South West,2020/05/01,25-34 years,Females,68.66415375
Perth - South West,2020/05/01,35-44 years,Males,88.60599786
Perth - South West,2020/05/01,35-44 years,Females,71.09184467
Perth - South West,2020/05/01,45-54 years,Males,86.63987643
Perth - South West,2020/05/01,45-54 years,Females,75.38216169
Perth - South West,2020/05/01,55-64 years,Males,74.17608401
Perth - South West,2020/05/01,55-64 years,Females,55.5628056
Perth - South West,2020/05/01,65 years and over,Males,19.69615444
Perth - South West,2020/05/01,65 years and over,Females,10.711235
Perth - South West,2020/04/01,15-24 years,Males,54.7098468
Perth - South West,2020/04/01,15-24 years,Females,59.64708833
Perth - South West,2020/04/01,25-34 years,Males,84.81563195
Perth - South West,2020/04/01,25-34 years,Females,70.61642026
Perth - South West,2020/04/01,35-44 years,Males,89.7055413
Perth - South West,2020/04/01,35-44 years,Females,72.16061321
Perth - South West,2020/04/01,45-54 years,Males,87.47009784
Perth - South West,2020/04/01,45-54 years,Females,76.13300433
Perth - South West,2020/04/01,55-64 years,Males,75.12584876
Perth - South West,2020/04/01,55-64 years,Females,56.63038075
Perth - South West,2020/04/01,65 years and over,Males,19.96856818
Perth - South West,2020/04/01,65 years and over,Females,10.82655682
Perth - South West,2020/03/01,15-24 years,Males,59.21187732
Perth - South West,2020/03/01,15-24 years,Females,64.5531504
Perth - South West,2020/03/01,25-34 years,Males,86.5648294
Perth - South West,2020/03/01,25-34 years,Females,73.23273999
Perth - South West,2020/03/01,35-44 years,Males,90.68332783
Perth - South West,2020/03/01,35-44 years,Females,74.64330076
Perth - South West,2020/03/01,45-54 years,Males,88.51062812
Perth - South West,2020/03/01,45-54 years,Females,77.61543527
Perth - South West,2020/03/01,55-64 years,Males,77.06573887
Perth - South West,2020/03/01,55-64 years,Females,59.90727794
Perth - South West,2020/03/01,65 years and over,Males,22.14201001
Perth - South West,2020/03/01,65 years and over,Females,12.0507968
Perth - South West,2020/02/01,15-24 years,Males,59.90786094
Perth - South West,2020/02/01,15-24 years,Females,65.50466099
Perth - South West,2020/02/01,25-34 years,Males,87.29428406
Perth - South West,2020/02/01,25-34 years,Females,73.75027411
Perth - South West,2020/02/01,35-44 years,Males,90.9732683
Perth - South West,2020/02/01,35-44 years,Females,74.99903866
Perth - South West,2020/02/01,45-54 years,Males,88.72757647
Perth - South West,2020/02/01,45-54 years,Females,77.75984665
Perth - South West,2020/02/01,55-64 years,Males,77.38203646
Perth - South West,2020/02/01,55-64 years,Females,60.87445507
Perth - South West,2020/02/01,65 years and over,Males,22.5322602
Perth - South West,2020/02/01,65 years and over,Females,12.24519975
Perth - South West,2020/01/01,15-24 years,Males,57.87528552
Perth - South West,2020/01/01,15-24 years,Females,63.64602705
Perth - South West,2020/01/01,25-34 years,Males,86.48172184
Perth - South West,2020/01/01,25-34 years,Females,72.11049788
Perth - South West,2020/01/01,35-44 years,Males,90.43044728
Perth - South West,2020/01/01,35-44 years,Females,73.604864
Perth - South West,2020/01/01,45-54 years,Males,87.74994581
Perth - South West,2020/01/01,45-54 years,Females,76.49616174
Perth - South West,2020/01/01,55-64 years,Males,76.15105654
Perth - South West,2020/01/01,55-64 years,Females,59.82792255
Perth - South West,2020/01/01,65 years and over,Males,21.72494673
Perth - South West,2020/01/01,65 years and over,Females,11.71212168
Perth - South West,2019/12/01,15-24 years,Males,59.47819253
Perth - South West,2019/12/01,15-24 years,Females,64.56162735
Perth - South West,2019/12/01,25-34 years,Males,87.24812737
Perth - South West,2019/12/01,25-34 years,Females,72.34199973
Perth - South West,2019/12/01,35-44 years,Males,90.82676117
Perth - South West,2019/12/01,35-44 years,Females,74.17417398
Perth - South West,2019/12/01,45-54 years,Males,87.81937533
Perth - South West,2019/12/01,45-54 years,Females,76.91384283
Perth - South West,2019/12/01,55-64 years,Males,76.30240757
Perth - South West,2019/12/01,55-64 years,Females,60.21671942
Perth - South West,2019/12/01,65 years and over,Males,21.88364502
Perth - South West,2019/12/01,65 years and over,Females,11.75619482
Perth - South West,2019/11/01,15-24 years,Males,57.9591332
Perth - South West,2019/11/01,15-24 years,Females,63.36466496
Perth - South West,2019/11/01,25-34 years,Males,87.00540769
Perth - South West,2019/11/01,25-34 years,Females,72.1959223
Perth - South West,2019/11/01,35-44 years,Males,90.71852697
Perth - South West,2019/11/01,35-44 years,Females,74.66024552
Perth - South West,2019/11/01,45-54 years,Males,87.64618598
Perth - South West,2019/11/01,45-54 years,Females,77.19005277
Perth - South West,2019/11/01,55-64 years,Males,76.56488231
Perth - South West,2019/11/01,55-64 years,Females,60.65516235
Perth - South West,2019/11/01,65 years and over,Males,22.57145622
Perth - South West,2019/11/01,65 years and over,Females,12.12019353
Perth - South West,2019/10/01,15-24 years,Males,56.99121215
Perth - South West,2019/10/01,15-24 years,Females,63.15452359
Perth - South West,2019/10/01,25-34 years,Males,86.98691696
Perth - South West,2019/10/01,25-34 years,Females,71.80253127
Perth - South West,2019/10/01,35-44 years,Males,90.70435248
Perth - South West,2019/10/01,35-44 years,Females,74.65461513
Perth - South West,2019/10/01,45-54 years,Males,87.60441459
Perth - South West,2019/10/01,45-54 years,Females,77.39366658
Perth - South West,2019/10/01,55-64 years,Males,76.64320498
Perth - South West,2019/10/01,55-64 years,Females,60.47315426
Perth - South West,2019/10/01,65 years and over,Males,22.60849099
Perth - South West,2019/10/01,65 years and over,Females,11.95786921
Perth - South West,2019/09/01,15-24 years,Males,55.34075913
Perth - South West,2019/09/01,15-24 years,Females,62.36613989
Perth - South West,2019/09/01,25-34 years,Males,86.29301675
Perth - South West,2019/09/01,25-34 years,Females,71.22550123
Perth - South West,2019/09/01,35-44 years,Males,90.27970985
Perth - South West,2019/09/01,35-44 years,Females,74.27571527
Perth - South West,2019/09/01,45-54 years,Males,87.19148252
Perth - South West,2019/09/01,45-54 years,Females,77.11326639
Perth - South West,2019/09/01,55-64 years,Males,76.53092518
Perth - South West,2019/09/01,55-64 years,Females,60.28473461
Perth - South West,2019/09/01,65 years and over,Males,22.68499072
Perth - South West,2019/09/01,65 years and over,Females,11.92755034
Perth - South West,2019/08/01,15-24 years,Males,55.61073865
Perth - South West,2019/08/01,15-24 years,Females,62.5154256
Perth - South West,2019/08/01,25-34 years,Males,86.64588062
Perth - South West,2019/08/01,25-34 years,Females,71.30192202
