Labour market region (SA4): ASGS (2011),Month,Age,Sex,Sum of Employment to population rate (%)
Capital Region,2022/07/01,65 years and over,Males,19.40514744
Capital Region,2022/07/01,65 years and over,Females,9.725018816
Capital Region,2022/06/01,15-24 years,Males,71.20543609
Capital Region,2022/06/01,15-24 years,Females,72.45747018
Capital Region,2022/06/01,25-34 years,Males,89.83077049
Capital Region,2022/06/01,25-34 years,Females,81.54937845
Capital Region,2022/06/01,35-44 years,Males,89.59009385
Capital Region,2022/06/01,35-44 years,Females,84.31381276
Capital Region,2022/06/01,45-54 years,Males,85.44292563
Capital Region,2022/06/01,45-54 years,Females,84.34105738
Capital Region,2022/06/01,55-64 years,Males,64.95981543
Capital Region,2022/06/01,55-64 years,Females,62.18486194
Capital Region,2022/06/01,65 years and over,Males,19.19256219
Capital Region,2022/06/01,65 years and over,Females,9.672144412
Capital Region,2022/05/01,15-24 years,Males,70.94018165
Capital Region,2022/05/01,15-24 years,Females,72.68187102
Capital Region,2022/05/01,25-34 years,Males,89.5252651
Capital Region,2022/05/01,25-34 years,Females,81.60588984
Capital Region,2022/05/01,35-44 years,Males,89.45141121
Capital Region,2022/05/01,35-44 years,Females,84.3109958
Capital Region,2022/05/01,45-54 years,Males,85.62706562
Capital Region,2022/05/01,45-54 years,Females,84.38951666
Capital Region,2022/05/01,55-64 years,Males,65.07907121
Capital Region,2022/05/01,55-64 years,Females,62.44099024
Capital Region,2022/05/01,65 years and over,Males,19.20173972
Capital Region,2022/05/01,65 years and over,Females,9.91441714
Capital Region,2022/04/01,15-24 years,Males,70.18636118
Capital Region,2022/04/01,15-24 years,Females,72.350019
Capital Region,2022/04/01,25-34 years,Males,88.84731501
Capital Region,2022/04/01,25-34 years,Females,81.11464225
Capital Region,2022/04/01,35-44 years,Males,89.08844639
Capital Region,2022/04/01,35-44 years,Females,83.91902244
Capital Region,2022/04/01,45-54 years,Males,85.35460178
Capital Region,2022/04/01,45-54 years,Females,83.7855108
Capital Region,2022/04/01,55-64 years,Males,64.16957482
Capital Region,2022/04/01,55-64 years,Females,61.77049195
Capital Region,2022/04/01,65 years and over,Males,18.95862239
Capital Region,2022/04/01,65 years and over,Females,9.980734173
Capital Region,2022/03/01,15-24 years,Males,69.14170388
