Labour market region (SA4): ASGS (2011),Month,Age,Sex,Sum of Participation rate (%)
Perth - North West,2024/04/01,65 years and over,Females,12.57296164
Perth - North West,2024/03/01,15-24 years,Males,72.98211389
Perth - North West,2024/03/01,15-24 years,Females,74.17319714
Perth - North West,2024/03/01,25-34 years,Males,94.83699513
Perth - North West,2024/03/01,25-34 years,Females,84.40496148
Perth - North West,2024/03/01,35-44 years,Males,94.49562824
Perth - North West,2024/03/01,35-44 years,Females,82.5326898
Perth - North West,2024/03/01,45-54 years,Males,93.39070928
Perth - North West,2024/03/01,45-54 years,Females,85.50521178
Perth - North West,2024/03/01,55-64 years,Males,82.24081818
Perth - North West,2024/03/01,55-64 years,Females,69.20857792
Perth - North West,2024/03/01,65 years and over,Males,23.26962927
Perth - North West,2024/03/01,65 years and over,Females,13.09944398
Perth - North West,2024/02/01,15-24 years,Males,72.51996345
Perth - North West,2024/02/01,15-24 years,Females,74.88701915
Perth - North West,2024/02/01,25-34 years,Males,94.93235585
Perth - North West,2024/02/01,25-34 years,Females,84.54494426
Perth - North West,2024/02/01,35-44 years,Males,94.5401594
Perth - North West,2024/02/01,35-44 years,Females,82.84918091
Perth - North West,2024/02/01,45-54 years,Males,93.39160613
Perth - North West,2024/02/01,45-54 years,Females,85.70166403
Perth - North West,2024/02/01,55-64 years,Males,82.77876724
Perth - North West,2024/02/01,55-64 years,Females,69.30505667
Perth - North West,2024/02/01,65 years and over,Males,23.66929371
Perth - North West,2024/02/01,65 years and over,Females,13.26897138
Perth - North West,2024/01/01,15-24 years,Males,71.40785795
Perth - North West,2024/01/01,15-24 years,Females,74.17472501
Perth - North West,2024/01/01,25-34 years,Males,94.43302552
Perth - North West,2024/01/01,25-34 years,Females,83.14620263
Perth - North West,2024/01/01,35-44 years,Males,94.03709352
Perth - North West,2024/01/01,35-44 years,Females,81.52910854
Perth - North West,2024/01/01,45-54 years,Males,92.66740454
Perth - North West,2024/01/01,45-54 years,Females,84.56454089
Perth - North West,2024/01/01,55-64 years,Males,81.75908385
Perth - North West,2024/01/01,55-64 years,Females,67.12891126
Perth - North West,2024/01/01,65 years and over,Males,22.05636135
Perth - North West,2024/01/01,65 years and over,Females,12.2540653
Perth - North West,2023/12/01,15-24 years,Males,73.19162378
Perth - North West,2023/12/01,15-24 years,Females,75.62958924
Perth - North West,2023/12/01,25-34 years,Males,94.82475883
Perth - North West,2023/12/01,25-34 years,Females,84.17980084
Perth - North West,2023/12/01,35-44 years,Males,94.50502974
Perth - North West,2023/12/01,35-44 years,Females,83.42633374
Perth - North West,2023/12/01,45-54 years,Males,93.02387241
Perth - North West,2023/12/01,45-54 years,Females,85.5122485
Perth - North West,2023/12/01,55-64 years,Males,83.05541076
Perth - North West,2023/12/01,55-64 years,Females,68.61493098
Perth - North West,2023/12/01,65 years and over,Males,23.42096501
Perth - North West,2023/12/01,65 years and over,Females,13.24378493
Perth - North West,2023/11/01,15-24 years,Males,72.50846123
Perth - North West,2023/11/01,15-24 years,Females,74.65155421
Perth - North West,2023/11/01,25-34 years,Males,94.81411958
Perth - North West,2023/11/01,25-34 years,Females,84.04051054
Perth - North West,2023/11/01,35-44 years,Males,94.56965937
Perth - North West,2023/11/01,35-44 years,Females,83.69318972
Perth - North West,2023/11/01,45-54 years,Males,92.92682788
Perth - North West,2023/11/01,45-54 years,Females,85.51848283
Perth - North West,2023/11/01,55-64 years,Males,83.18961253
Perth - North West,2023/11/01,55-64 years,Females,68.54412835
Perth - North West,2023/11/01,65 years and over,Males,23.38268593
Perth - North West,2023/11/01,65 years and over,Females,13.23934059
Perth - North West,2023/10/01,15-24 years,Males,71.57934978
Perth - North West,2023/10/01,15-24 years,Females,74.38878119
Perth - North West,2023/10/01,25-34 years,Males,94.74316369
Perth - North West,2023/10/01,25-34 years,Females,83.60172035
Perth - North West,2023/10/01,35-44 years,Males,94.5026135
Perth - North West,2023/10/01,35-44 years,Females,83.66513484
Perth - North West,2023/10/01,45-54 years,Males,92.75525457
Perth - North West,2023/10/01,45-54 years,Females,85.22167034
Perth - North West,2023/10/01,55-64 years,Males,82.91247289
Perth - North West,2023/10/01,55-64 years,Females,68.28198208
Perth - North West,2023/10/01,65 years and over,Males,22.87562093
Perth - North West,2023/10/01,65 years and over,Females,12.8587515
Perth - North West,2023/09/01,15-24 years,Males,70.07128363
Perth - North West,2023/09/01,15-24 years,Females,73.10192017
Perth - North West,2023/09/01,25-34 years,Males,94.7164908
Perth - North West,2023/09/01,25-34 years,Females,83.13636868
Perth - North West,2023/09/01,35-44 years,Males,94.38247377
Perth - North West,2023/09/01,35-44 years,Females,83.75539387
Perth - North West,2023/09/01,45-54 years,Males,92.60522883
Perth - North West,2023/09/01,45-54 years,Females,84.90479827
Perth - North West,2023/09/01,55-64 years,Males,82.44272039
Perth - North West,2023/09/01,55-64 years,Females,67.84678071
Perth - North West,2023/09/01,65 years and over,Males,22.21080843
Perth - North West,2023/09/01,65 years and over,Females,12.45442992
Perth - North West,2023/08/01,15-24 years,Males,70.7236479
Perth - North West,2023/08/01,15-24 years,Females,73.9033856
Perth - North West,2023/08/01,25-34 years,Males,94.95241025
Perth - North West,2023/08/01,25-34 years,Females,83.39751673
Perth - North West,2023/08/01,35-44 years,Males,94.57179813
Perth - North West,2023/08/01,35-44 years,Females,84.16840716
Perth - North West,2023/08/01,45-54 years,Males,92.8744739
Perth - North West,2023/08/01,45-54 years,Females,85.20986534
Perth - North West,2023/08/01,55-64 years,Males,82.72122816
Perth - North West,2023/08/01,55-64 years,Females,68.60125364
Perth - North West,2023/08/01,65 years and over,Males,22.556783
Perth - North West,2023/08/01,65 years and over,Females,12.67935666
Perth - North West,2023/07/01,15-24 years,Males,71.2357501
Perth - North West,2023/07/01,15-24 years,Females,73.54636826
Perth - North West,2023/07/01,25-34 years,Males,94.83039651
Perth - North West,2023/07/01,25-34 years,Females,82.81648978
Perth - North West,2023/07/01,35-44 years,Males,94.40239909
Perth - North West,2023/07/01,35-44 years,Females,83.65680272
Perth - North West,2023/07/01,45-54 years,Males,92.62484793
Perth - North West,2023/07/01,45-54 years,Females,84.71535728
Perth - North West,2023/07/01,55-64 years,Males,81.78434821
Perth - North West,2023/07/01,55-64 years,Females,67.99128402
Perth - North West,2023/07/01,65 years and over,Males,21.70264439
Perth - North West,2023/07/01,65 years and over,Females,12.15411891
Perth - North West,2023/06/01,15-24 years,Males,71.15675181
Perth - North West,2023/06/01,15-24 years,Females,73.13192564
Perth - North West,2023/06/01,25-34 years,Males,94.70904218
Perth - North West,2023/06/01,25-34 years,Females,82.14437691
Perth - North West,2023/06/01,35-44 years,Males,94.25688204
Perth - North West,2023/06/01,35-44 years,Females,83.13335526
Perth - North West,2023/06/01,45-54 years,Males,92.43734119
Perth - North West,2023/06/01,45-54 years,Females,84.28245134
Perth - North West,2023/06/01,55-64 years,Males,80.74171727
Perth - North West,2023/06/01,55-64 years,Females,67.66224026
Perth - North West,2023/06/01,65 years and over,Males,21.00264314
Perth - North West,2023/06/01,65 years and over,Females,11.75489461
Perth - North West,2023/05/01,15-24 years,Males,72.68919205
Perth - North West,2023/05/01,15-24 years,Females,74.93524883
Perth - North West,2023/05/01,25-34 years,Males,95.13885225
Perth - North West,2023/05/01,25-34 years,Females,82.94964769
Perth - North West,2023/05/01,35-44 years,Males,94.61137745
Perth - North West,2023/05/01,35-44 years,Females,83.57872304
Perth - North West,2023/05/01,45-54 years,Males,92.91769592
Perth - North West,2023/05/01,45-54 years,Females,85.0917454
Perth - North West,2023/05/01,55-64 years,Males,81.25086095
Perth - North West,2023/05/01,55-64 years,Females,69.23336368
Perth - North West,2023/05/01,65 years and over,Males,21.70767367
Perth - North West,2023/05/01,65 years and over,Females,12.34488153
Perth - North West,2023/04/01,15-24 years,Males,74.16114562
Perth - North West,2023/04/01,15-24 years,Females,75.80114114
Perth - North West,2023/04/01,25-34 years,Males,95.32049486
Perth - North West,2023/04/01,25-34 years,Females,83.03446487
Perth - North West,2023/04/01,35-44 years,Males,94.72293636
Perth - North West,2023/04/01,35-44 years,Females,83.28261991
Perth - North West,2023/04/01,45-54 years,Males,93.1310456
Perth - North West,2023/04/01,45-54 years,Females,85.35180299
Perth - North West,2023/04/01,55-64 years,Males,81.16433248
Perth - North West,2023/04/01,55-64 years,Females,69.72221313
Perth - North West,2023/04/01,65 years and over,Males,21.87123118
Perth - North West,2023/04/01,65 years and over,Females,12.44969772
Perth - North West,2023/03/01,15-24 years,Males,74.16525992
Perth - North West,2023/03/01,15-24 years,Females,76.15791784
Perth - North West,2023/03/01,25-34 years,Males,95.23354256
Perth - North West,2023/03/01,25-34 years,Females,82.63502987
Perth - North West,2023/03/01,35-44 years,Males,94.64115373
Perth - North West,2023/03/01,35-44 years,Females,82.51522185
Perth - North West,2023/03/01,45-54 years,Males,92.99592033
Perth - North West,2023/03/01,45-54 years,Females,85.03014439
Perth - North West,2023/03/01,55-64 years,Males,80.54651353
Perth - North West,2023/03/01,55-64 years,Females,69.48775932
Perth - North West,2023/03/01,65 years and over,Males,21.68101614
Perth - North West,2023/03/01,65 years and over,Females,12.30181047
Perth - North West,2023/02/01,15-24 years,Males,75.62220357
Perth - North West,2023/02/01,15-24 years,Females,77.31056476
Perth - North West,2023/02/01,25-34 years,Males,95.25447214
Perth - North West,2023/02/01,25-34 years,Females,82.58875356
Perth - North West,2023/02/01,35-44 years,Males,94.70104205
Perth - North West,2023/02/01,35-44 years,Females,81.94659681
Perth - North West,2023/02/01,45-54 years,Males,93.02793326
Perth - North West,2023/02/01,45-54 years,Females,85.18060831
Perth - North West,2023/02/01,55-64 years,Males,80.65004049
Perth - North West,2023/02/01,55-64 years,Females,70.05048312
Perth - North West,2023/02/01,65 years and over,Males,22.11336869
Perth - North West,2023/02/01,65 years and over,Females,12.44100162
Perth - North West,2023/01/01,15-24 years,Males,75.05645198
Perth - North West,2023/01/01,15-24 years,Females,76.1571697
Perth - North West,2023/01/01,25-34 years,Males,94.74973928
Perth - North West,2023/01/01,25-34 years,Females,81.31661195
Perth - North West,2023/01/01,35-44 years,Males,94.29741633
Perth - North West,2023/01/01,35-44 years,Females,80.4791199
Perth - North West,2023/01/01,45-54 years,Males,92.45345581
Perth - North West,2023/01/01,45-54 years,Females,84.08674487
Perth - North West,2023/01/01,55-64 years,Males,79.58613715
Perth - North West,2023/01/01,55-64 years,Females,68.68142639
Perth - North West,2023/01/01,65 years and over,Males,21.08215251
Perth - North West,2023/01/01,65 years and over,Females,11.85622328
Perth - North West,2022/12/01,15-24 years,Males,76.48341141
Perth - North West,2022/12/01,15-24 years,Females,77.54492768
Perth - North West,2022/12/01,25-34 years,Males,95.01877834
Perth - North West,2022/12/01,25-34 years,Females,82.47513485
Perth - North West,2022/12/01,35-44 years,Males,94.69081902
Perth - North West,2022/12/01,35-44 years,Females,81.82725387
Perth - North West,2022/12/01,45-54 years,Males,92.96282779
Perth - North West,2022/12/01,45-54 years,Females,85.03009113
Perth - North West,2022/12/01,55-64 years,Males,81.03094612
Perth - North West,2022/12/01,55-64 years,Females,70.41733851
Perth - North West,2022/12/01,65 years and over,Males,22.65213794
Perth - North West,2022/12/01,65 years and over,Females,12.81149036
Perth - North West,2022/11/01,15-24 years,Males,74.86574765
Perth - North West,2022/11/01,15-24 years,Females,76.61237446
Perth - North West,2022/11/01,25-34 years,Males,94.88475306
Perth - North West,2022/11/01,25-34 years,Females,82.27262586
Perth - North West,2022/11/01,35-44 years,Males,94.62497808
Perth - North West,2022/11/01,35-44 years,Females,81.96658222
Perth - North West,2022/11/01,45-54 years,Males,92.97300229
Perth - North West,2022/11/01,45-54 years,Females,84.89428748
Perth - North West,2022/11/01,55-64 years,Males,81.21008276
Perth - North West,2022/11/01,55-64 years,Females,70.54217392
Perth - North West,2022/11/01,65 years and over,Males,22.86760406
Perth - North West,2022/11/01,65 years and over,Females,12.7520842
Perth - North West,2022/10/01,15-24 years,Males,73.18191059
Perth - North West,2022/10/01,15-24 years,Females,74.97659513
Perth - North West,2022/10/01,25-34 years,Males,94.5117557
Perth - North West,2022/10/01,25-34 years,Females,81.77435598
Perth - North West,2022/10/01,35-44 years,Males,94.4033311
Perth - North West,2022/10/01,35-44 years,Females,81.70025706
Perth - North West,2022/10/01,45-54 years,Males,92.83000222
Perth - North West,2022/10/01,45-54 years,Females,84.35875884
Perth - North West,2022/10/01,55-64 years,Males,80.92986693
Perth - North West,2022/10/01,55-64 years,Females,70.16665435
Perth - North West,2022/10/01,65 years and over,Males,22.44688959
Perth - North West,2022/10/01,65 years and over,Females,12.42414266
Perth - North West,2022/09/01,15-24 years,Males,73.0209077
Perth - North West,2022/09/01,15-24 years,Females,74.4475755
Perth - North West,2022/09/01,25-34 years,Males,94.38719949
Perth - North West,2022/09/01,25-34 years,Females,81.81312108
Perth - North West,2022/09/01,35-44 years,Males,94.35586765
Perth - North West,2022/09/01,35-44 years,Females,82.09498533
Perth - North West,2022/09/01,45-54 years,Males,92.94052763
Perth - North West,2022/09/01,45-54 years,Females,84.266644
Perth - North West,2022/09/01,55-64 years,Males,81.13413786
Perth - North West,2022/09/01,55-64 years,Females,70.39075101
Perth - North West,2022/09/01,65 years and over,Males,22.5660417
Perth - North West,2022/09/01,65 years and over,Females,12.55096283
Perth - North West,2022/08/01,15-24 years,Males,72.05159382
Perth - North West,2022/08/01,15-24 years,Females,74.99198442
Perth - North West,2022/08/01,25-34 years,Males,94.48383218
Perth - North West,2022/08/01,25-34 years,Females,82.32146345
Perth - North West,2022/08/01,35-44 years,Males,94.45528661
Perth - North West,2022/08/01,35-44 years,Females,82.58105647
Perth - North West,2022/08/01,45-54 years,Males,93.23771044
Perth - North West,2022/08/01,45-54 years,Females,84.47438306
Perth - North West,2022/08/01,55-64 years,Males,81.41709164
Perth - North West,2022/08/01,55-64 years,Females,71.00804719
Perth - North West,2022/08/01,65 years and over,Males,23.07869644
Perth - North West,2022/08/01,65 years and over,Females,12.88796174
Perth - North West,2022/07/01,15-24 years,Males,72.00685968
Perth - North West,2022/07/01,15-24 years,Females,75.39312055
Perth - North West,2022/07/01,25-34 years,Males,94.39914472
Perth - North West,2022/07/01,25-34 years,Females,82.23732542
Perth - North West,2022/07/01,35-44 years,Males,94.33734469
Perth - North West,2022/07/01,35-44 years,Females,82.24905614
Perth - North West,2022/07/01,45-54 years,Males,93.35033887
Perth - North West,2022/07/01,45-54 years,Females,84.2279942
Perth - North West,2022/07/01,55-64 years,Males,81.28606116
Perth - North West,2022/07/01,55-64 years,Females,70.79153036
Perth - North West,2022/07/01,65 years and over,Males,22.92026681
Perth - North West,2022/07/01,65 years and over,Females,12.66692669
Perth - North West,2022/06/01,15-24 years,Males,72.69898973
Perth - North West,2022/06/01,15-24 years,Females,75.64850545
Perth - North West,2022/06/01,25-34 years,Males,94.43676378
Perth - North West,2022/06/01,25-34 years,Females,82.50027294
Perth - North West,2022/06/01,35-44 years,Males,94.35303528
Perth - North West,2022/06/01,35-44 years,Females,82.40640366
Perth - North West,2022/06/01,45-54 years,Males,93.55733045
Perth - North West,2022/06/01,45-54 years,Females,84.17924285
Perth - North West,2022/06/01,55-64 years,Males,81.4544214
Perth - North West,2022/06/01,55-64 years,Females,70.9752153
Perth - North West,2022/06/01,65 years and over,Males,23.17903812
Perth - North West,2022/06/01,65 years and over,Females,12.76104419
Perth - North West,2022/05/01,15-24 years,Males,72.915785
Perth - North West,2022/05/01,15-24 years,Females,75.84686838
Perth - North West,2022/05/01,25-34 years,Males,94.40051473
Perth - North West,2022/05/01,25-34 years,Females,82.42219412
Perth - North West,2022/05/01,35-44 years,Males,94.33484441
Perth - North West,2022/05/01,35-44 years,Females,82.34511008
Perth - North West,2022/05/01,45-54 years,Males,93.68512825
Perth - North West,2022/05/01,45-54 years,Females,84.01223529
Perth - North West,2022/05/01,55-64 years,Males,81.35567545
Perth - North West,2022/05/01,55-64 years,Females,70.84112651
Perth - North West,2022/05/01,65 years and over,Males,23.14395108
Perth - North West,2022/05/01,65 years and over,Females,12.55184281
Perth - North West,2022/04/01,15-24 years,Males,72.74801178
Perth - North West,2022/04/01,15-24 years,Females,76.22955454
Perth - North West,2022/04/01,25-34 years,Males,94.35247027
Perth - North West,2022/04/01,25-34 years,Females,82.06444223
Perth - North West,2022/04/01,35-44 years,Males,94.22055716
Perth - North West,2022/04/01,35-44 years,Females,82.06450695
Perth - North West,2022/04/01,45-54 years,Males,93.68202112
Perth - North West,2022/04/01,45-54 years,Females,83.67688684
Perth - North West,2022/04/01,55-64 years,Males,81.02134638
Perth - North West,2022/04/01,55-64 years,Females,70.41761882
Perth - North West,2022/04/01,65 years and over,Males,22.85046673
Perth - North West,2022/04/01,65 years and over,Females,12.2218761
Perth - North West,2022/03/01,15-24 years,Males,73.56635775
Perth - North West,2022/03/01,15-24 years,Females,77.3433021
Perth - North West,2022/03/01,25-34 years,Males,94.52107726
Perth - North West,2022/03/01,25-34 years,Females,82.37599882
Perth - North West,2022/03/01,35-44 years,Males,94.34622919
Perth - North West,2022/03/01,35-44 years,Females,82.18454938
Perth - North West,2022/03/01,45-54 years,Males,93.87256612
Perth - North West,2022/03/01,45-54 years,Females,83.94237944
Perth - North West,2022/03/01,55-64 years,Males,81.24279799
Perth - North West,2022/03/01,55-64 years,Females,70.61157844
Perth - North West,2022/03/01,65 years and over,Males,23.14474999
Perth - North West,2022/03/01,65 years and over,Females,12.23486995
Perth - North West,2022/02/01,15-24 years,Males,74.58439611
Perth - North West,2022/02/01,15-24 years,Females,78.06855331
Perth - North West,2022/02/01,25-34 years,Males,94.70423873
Perth - North West,2022/02/01,25-34 years,Females,82.66629709
Perth - North West,2022/02/01,35-44 years,Males,94.47860778
Perth - North West,2022/02/01,35-44 years,Females,82.25249192
Perth - North West,2022/02/01,45-54 years,Males,94.01828946
Perth - North West,2022/02/01,45-54 years,Females,84.26576351
Perth - North West,2022/02/01,55-64 years,Males,81.44093126
Perth - North West,2022/02/01,55-64 years,Females,70.72856847
Perth - North West,2022/02/01,65 years and over,Males,23.49811956
Perth - North West,2022/02/01,65 years and over,Females,12.25965149
Perth - North West,2022/01/01,15-24 years,Males,73.96859673
Perth - North West,2022/01/01,15-24 years,Females,77.8830537
Perth - North West,2022/01/01,25-34 years,Males,94.49023396
Perth - North West,2022/01/01,25-34 years,Females,81.85885221
Perth - North West,2022/01/01,35-44 years,Males,94.28379919
Perth - North West,2022/01/01,35-44 years,Females,81.10907028
Perth - North West,2022/01/01,45-54 years,Males,93.77594219
Perth - North West,2022/01/01,45-54 years,Females,83.79930739
Perth - North West,2022/01/01,55-64 years,Males,80.58739231
Perth - North West,2022/01/01,55-64 years,Females,69.57664053
Perth - North West,2022/01/01,65 years and over,Males,22.83927896
Perth - North West,2022/01/01,65 years and over,Females,11.71140094
Perth - North West,2021/12/01,15-24 years,Males,74.87433899
Perth - North West,2021/12/01,15-24 years,Females,78.19399025
Perth - North West,2021/12/01,25-34 years,Males,94.74850553
Perth - North West,2021/12/01,25-34 years,Females,82.03861515
Perth - North West,2021/12/01,35-44 years,Males,94.4806476
Perth - North West,2021/12/01,35-44 years,Females,81.63496423
Perth - North West,2021/12/01,45-54 years,Males,93.91069723
Perth - North West,2021/12/01,45-54 years,Females,84.22771266
Perth - North West,2021/12/01,55-64 years,Males,80.76814296
Perth - North West,2021/12/01,55-64 years,Females,70.03727015
Perth - North West,2021/12/01,65 years and over,Males,23.48015418
Perth - North West,2021/12/01,65 years and over,Females,11.99285095
Perth - North West,2021/11/01,15-24 years,Males,73.63191755
Perth - North West,2021/11/01,15-24 years,Females,77.02544932
Perth - North West,2021/11/01,25-34 years,Males,94.81317534
Perth - North West,2021/11/01,25-34 years,Females,81.91857257
Perth - North West,2021/11/01,35-44 years,Males,94.49943493
Perth - North West,2021/11/01,35-44 years,Females,81.68948158
Perth - North West,2021/11/01,45-54 years,Males,93.82865201
Perth - North West,2021/11/01,45-54 years,Females,84.33823447
Perth - North West,2021/11/01,55-64 years,Males,80.64443559
Perth - North West,2021/11/01,55-64 years,Females,69.99984945
Perth - North West,2021/11/01,65 years and over,Males,23.49091227
Perth - North West,2021/11/01,65 years and over,Females,12.04278871
Perth - North West,2021/10/01,15-24 years,Males,71.74515032
Perth - North West,2021/10/01,15-24 years,Females,74.75078093
Perth - North West,2021/10/01,25-34 years,Males,94.55106532
Perth - North West,2021/10/01,25-34 years,Females,80.99864191
Perth - North West,2021/10/01,35-44 years,Males,94.22003004
Perth - North West,2021/10/01,35-44 years,Females,80.71782186
Perth - North West,2021/10/01,45-54 years,Males,93.4536906
Perth - North West,2021/10/01,45-54 years,Females,83.73182943
Perth - North West,2021/10/01,55-64 years,Males,79.79616012
Perth - North West,2021/10/01,55-64 years,Females,69.09009375
Perth - North West,2021/10/01,65 years and over,Males,22.57861981
Perth - North West,2021/10/01,65 years and over,Females,11.59437148
Perth - North West,2021/09/01,15-24 years,Males,70.85689445
Perth - North West,2021/09/01,15-24 years,Females,73.53393394
Perth - North West,2021/09/01,25-34 years,Males,94.46846294
Perth - North West,2021/09/01,25-34 years,Females,80.85053161
Perth - North West,2021/09/01,35-44 years,Males,94.16603801
Perth - North West,2021/09/01,35-44 years,Females,80.60401821
Perth - North West,2021/09/01,45-54 years,Males,93.3160916
Perth - North West,2021/09/01,45-54 years,Females,83.7642293
Perth - North West,2021/09/01,55-64 years,Males,79.79568057
Perth - North West,2021/09/01,55-64 years,Females,69.21882
Perth - North West,2021/09/01,65 years and over,Males,22.34952337
Perth - North West,2021/09/01,65 years and over,Females,11.710796
Perth - North West,2021/08/01,15-24 years,Males,72.03429079
Perth - North West,2021/08/01,15-24 years,Females,74.4397563
Perth - North West,2021/08/01,25-34 years,Males,94.638741
Perth - North West,2021/08/01,25-34 years,Females,81.11438075
Perth - North West,2021/08/01,35-44 years,Males,94.29782557
Perth - North West,2021/08/01,35-44 years,Females,81.03079307
Perth - North West,2021/08/01,45-54 years,Males,93.25988767
Perth - North West,2021/08/01,45-54 years,Females,84.04093446
Perth - North West,2021/08/01,55-64 years,Males,80.27244812
Perth - North West,2021/08/01,55-64 years,Females,69.7560356
Perth - North West,2021/08/01,65 years and over,Males,22.47998007
Perth - North West,2021/08/01,65 years and over,Females,12.0366861
Perth - North West,2021/07/01,15-24 years,Males,72.17318975
Perth - North West,2021/07/01,15-24 years,Females,74.50823603
Perth - North West,2021/07/01,25-34 years,Males,94.54386968
Perth - North West,2021/07/01,25-34 years,Females,80.22231164
Perth - North West,2021/07/01,35-44 years,Males,94.12045254
Perth - North West,2021/07/01,35-44 years,Females,80.24601746
Perth - North West,2021/07/01,45-54 years,Males,92.76005904
Perth - North West,2021/07/01,45-54 years,Females,83.60465889
Perth - North West,2021/07/01,55-64 years,Males,79.85035313
Perth - North West,2021/07/01,55-64 years,Females,68.9995022
Perth - North West,2021/07/01,65 years and over,Males,21.65987323
Perth - North West,2021/07/01,65 years and over,Females,11.75932591
Perth - North West,2021/06/01,15-24 years,Males,72.68274769
Perth - North West,2021/06/01,15-24 years,Females,74.32785603
Perth - North West,2021/06/01,25-34 years,Males,94.59549412
Perth - North West,2021/06/01,25-34 years,Females,80.05289161
Perth - North West,2021/06/01,35-44 years,Males,94.1564025
Perth - North West,2021/06/01,35-44 years,Females,80.31634204
Perth - North West,2021/06/01,45-54 years,Males,92.50691529
Perth - North West,2021/06/01,45-54 years,Females,83.57918117
Perth - North West,2021/06/01,55-64 years,Males,80.10419222
Perth - North West,2021/06/01,55-64 years,Females,69.00841321
Perth - North West,2021/06/01,65 years and over,Males,21.37846605
Perth - North West,2021/06/01,65 years and over,Females,11.83394937
Perth - North West,2021/05/01,15-24 years,Males,71.90715737
Perth - North West,2021/05/01,15-24 years,Females,74.33286394
Perth - North West,2021/05/01,25-34 years,Males,94.57670043
Perth - North West,2021/05/01,25-34 years,Females,79.63850333
Perth - North West,2021/05/01,35-44 years,Males,94.13609535
Perth - North West,2021/05/01,35-44 years,Females,79.99344622
Perth - North West,2021/05/01,45-54 years,Males,92.28004018
Perth - North West,2021/05/01,45-54 years,Females,83.48329269
Perth - North West,2021/05/01,55-64 years,Males,79.94599565
Perth - North West,2021/05/01,55-64 years,Females,68.59439311
Perth - North West,2021/05/01,65 years and over,Males,20.98313968
Perth - North West,2021/05/01,65 years and over,Females,11.75937638
Perth - North West,2021/04/01,15-24 years,Males,71.55425848
Perth - North West,2021/04/01,15-24 years,Females,74.19291164
Perth - North West,2021/04/01,25-34 years,Males,94.54710499
Perth - North West,2021/04/01,25-34 years,Females,79.39323692
Perth - North West,2021/04/01,35-44 years,Males,94.12352277
Perth - North West,2021/04/01,35-44 years,Females,79.57102098
Perth - North West,2021/04/01,45-54 years,Males,92.15561663
Perth - North West,2021/04/01,45-54 years,Females,83.41985944
Perth - North West,2021/04/01,55-64 years,Males,79.94446626
Perth - North West,2021/04/01,55-64 years,Females,68.15381436
Perth - North West,2021/04/01,65 years and over,Males,20.59342327
Perth - North West,2021/04/01,65 years and over,Females,11.66488804
Perth - North West,2021/03/01,15-24 years,Males,72.24048977
Perth - North West,2021/03/01,15-24 years,Females,74.9240288
Perth - North West,2021/03/01,25-34 years,Males,94.68989233
Perth - North West,2021/03/01,25-34 years,Females,79.62768423
Perth - North West,2021/03/01,35-44 years,Males,94.29540777
Perth - North West,2021/03/01,35-44 years,Females,79.9910277
Perth - North West,2021/03/01,45-54 years,Males,92.36585748
Perth - North West,2021/03/01,45-54 years,Females,83.93777859
Perth - North West,2021/03/01,55-64 years,Males,80.41334866
Perth - North West,2021/03/01,55-64 years,Females,68.49716946
Perth - North West,2021/03/01,65 years and over,Males,20.88364877
Perth - North West,2021/03/01,65 years and over,Females,11.93408464
Perth - North West,2021/02/01,15-24 years,Males,71.88055805
Perth - North West,2021/02/01,15-24 years,Females,74.94562971
Perth - North West,2021/02/01,25-34 years,Males,94.57504911
Perth - North West,2021/02/01,25-34 years,Females,78.73982148
Perth - North West,2021/02/01,35-44 years,Males,94.09622082
Perth - North West,2021/02/01,35-44 years,Females,79.24726894
Perth - North West,2021/02/01,45-54 years,Males,92.15353846
Perth - North West,2021/02/01,45-54 years,Females,83.49716165
Perth - North West,2021/02/01,55-64 years,Males,80.08420136
Perth - North West,2021/02/01,55-64 years,Females,67.27285446
Perth - North West,2021/02/01,65 years and over,Males,20.07818754
Perth - North West,2021/02/01,65 years and over,Females,11.42532358
Perth - North West,2021/01/01,15-24 years,Males,71.90535133
Perth - North West,2021/01/01,15-24 years,Females,74.66687114
Perth - North West,2021/01/01,25-34 years,Males,94.38365391
Perth - North West,2021/01/01,25-34 years,Females,78.05564689
Perth - North West,2021/01/01,35-44 years,Males,93.93764994
Perth - North West,2021/01/01,35-44 years,Females,78.57407158
Perth - North West,2021/01/01,45-54 years,Males,91.96935332
Perth - North West,2021/01/01,45-54 years,Females,83.03453701
Perth - North West,2021/01/01,55-64 years,Males,79.76444511
Perth - North West,2021/01/01,55-64 years,Females,66.48142837
Perth - North West,2021/01/01,65 years and over,Males,19.60047605
Perth - North West,2021/01/01,65 years and over,Females,11.1172828
Perth - North West,2020/12/01,15-24 years,Males,72.2044661
Perth - North West,2020/12/01,15-24 years,Females,75.71195861
Perth - North West,2020/12/01,25-34 years,Males,94.6964169
Perth - North West,2020/12/01,25-34 years,Females,79.17154429
Perth - North West,2020/12/01,35-44 years,Males,94.35945647
Perth - North West,2020/12/01,35-44 years,Females,80.19902244
Perth - North West,2020/12/01,45-54 years,Males,92.56974901
Perth - North West,2020/12/01,45-54 years,Females,84.19397988
Perth - North West,2020/12/01,55-64 years,Males,81.23899358
Perth - North West,2020/12/01,55-64 years,Females,67.91448289
Perth - North West,2020/12/01,65 years and over,Males,20.64345964
Perth - North West,2020/12/01,65 years and over,Females,11.90257627
