Labour market region (SA4): ASGS (2011),Month,Age,Sex,Sum of Participation rate (%)
Capital Region,2023/12/01,65 years and over,Females,12.60633303
Capital Region,2023/11/01,15-24 years,Males,78.18991071
Capital Region,2023/11/01,15-24 years,Females,77.53054599
Capital Region,2023/11/01,25-34 years,Males,94.72147709
Capital Region,2023/11/01,25-34 years,Females,83.62254221
Capital Region,2023/11/01,35-44 years,Males,90.57092286
Capital Region,2023/11/01,35-44 years,Females,87.3148891
Capital Region,2023/11/01,45-54 years,Males,86.71421112
Capital Region,2023/11/01,45-54 years,Females,81.66786497
Capital Region,2023/11/01,55-64 years,Males,71.12625196
Capital Region,2023/11/01,55-64 years,Females,64.94778865
Capital Region,2023/11/01,65 years and over,Males,19.70281701
Capital Region,2023/11/01,65 years and over,Females,12.5273133
Capital Region,2023/10/01,15-24 years,Males,77.6226086
Capital Region,2023/10/01,15-24 years,Females,77.17809281
Capital Region,2023/10/01,25-34 years,Males,94.43265106
Capital Region,2023/10/01,25-34 years,Females,83.14219759
Capital Region,2023/10/01,35-44 years,Males,90.5753493
Capital Region,2023/10/01,35-44 years,Females,86.94352
Capital Region,2023/10/01,45-54 years,Males,86.43055989
Capital Region,2023/10/01,45-54 years,Females,81.67276769
Capital Region,2023/10/01,55-64 years,Males,70.32024038
Capital Region,2023/10/01,55-64 years,Females,64.58034007
Capital Region,2023/10/01,65 years and over,Males,19.22289826
Capital Region,2023/10/01,65 years and over,Females,12.13910764
Capital Region,2023/09/01,15-24 years,Males,77.07263759
Capital Region,2023/09/01,15-24 years,Females,75.93063363
Capital Region,2023/09/01,25-34 years,Males,94.18468929
Capital Region,2023/09/01,25-34 years,Females,83.11069391
Capital Region,2023/09/01,35-44 years,Males,90.52167026
Capital Region,2023/09/01,35-44 years,Females,86.81368651
Capital Region,2023/09/01,45-54 years,Males,86.15099244
Capital Region,2023/09/01,45-54 years,Females,81.70041337
Capital Region,2023/09/01,55-64 years,Males,69.42733205
Capital Region,2023/09/01,55-64 years,Females,64.18833166
Capital Region,2023/09/01,65 years and over,Males,18.90530372
Capital Region,2023/09/01,65 years and over,Females,11.68896492
Capital Region,2023/08/01,15-24 years,Males,77.79742322
Capital Region,2023/08/01,15-24 years,Females,76.19841053
Capital Region,2023/08/01,25-34 years,Males,94.0060674
Capital Region,2023/08/01,25-34 years,Females,83.30826241
Capital Region,2023/08/01,35-44 years,Males,90.63655154
Capital Region,2023/08/01,35-44 years,Females,86.97989723
Capital Region,2023/08/01,45-54 years,Males,86.19574263
Capital Region,2023/08/01,45-54 years,Females,81.95294102
Capital Region,2023/08/01,55-64 years,Males,69.10087066
Capital Region,2023/08/01,55-64 years,Females,64.48211228
Capital Region,2023/08/01,65 years and over,Males,19.03584172
Capital Region,2023/08/01,65 years and over,Females,11.38607107
Capital Region,2023/07/01,15-24 years,Males,79.43488082
Capital Region,2023/07/01,15-24 years,Females,76.41067874
Capital Region,2023/07/01,25-34 years,Males,93.64421222
