Date,Attribute,Value
1999/01/27,$10 notes,633.22
1999/01/27,$20 notes,1861.82
1999/01/27,$50 notes,10235.02
1999/01/27,$100 notes,9931.93
1999/02/24,$5 notes,372.16
1999/02/24,$10 notes,632.17
1999/02/24,$20 notes,1838.92
1999/02/24,$50 notes,10075.96
1999/02/24,$100 notes,9943.26
1999/03/31,$5 notes,380.15
1999/03/31,$10 notes,645.41
1999/03/31,$20 notes,1902.17
1999/03/31,$50 notes,10422.69
1999/03/31,$100 notes,10085.34
1999/04/28,$5 notes,377.15
1999/04/28,$10 notes,636.77
1999/04/28,$20 notes,1865.38
1999/04/28,$50 notes,10320.06
1999/04/28,$100 notes,10107.05
1999/05/26,$5 notes,376.63
1999/05/26,$10 notes,637.17
1999/05/26,$20 notes,1843.44
1999/05/26,$50 notes,10235.83
1999/05/26,$100 notes,10145.30
1999/06/30,$5 notes,378.44
1999/06/30,$10 notes,639.15
1999/06/30,$20 notes,1850.26
1999/06/30,$50 notes,10355.27
1999/06/30,$100 notes,10282.26
1999/07/28,$5 notes,378.78
1999/07/28,$10 notes,641.81
1999/07/28,$20 notes,1863.89
1999/07/28,$50 notes,10459.97
1999/07/28,$100 notes,10370.42
1999/08/25,$5 notes,380.09
1999/08/25,$10 notes,642.06
1999/08/25,$20 notes,1854.29
1999/08/25,$50 notes,10421.92
1999/08/25,$100 notes,10421.60
1999/09/29,$5 notes,379.12
1999/09/29,$10 notes,643.45
1999/09/29,$20 notes,1859.23
1999/09/29,$50 notes,10538.54
1999/09/29,$100 notes,10515.43
1999/10/27,$5 notes,380.14
1999/10/27,$10 notes,646.59
1999/10/27,$20 notes,1858.83
1999/10/27,$50 notes,10577.66
1999/10/27,$100 notes,10567.76
1999/11/24,$5 notes,384.51
1999/11/24,$10 notes,653.96
1999/11/24,$20 notes,1899.15
1999/11/24,$50 notes,10808.50
1999/11/24,$100 notes,10722.20
1999/12/29,$5 notes,421.58
1999/12/29,$10 notes,711.82
1999/12/29,$20 notes,2336.23
1999/12/29,$50 notes,13131.53
1999/12/29,$100 notes,11517.11
2000/01/26,$5 notes,384.42
2000/01/26,$10 notes,642.48
2000/01/26,$20 notes,1881.44
2000/01/26,$50 notes,11087.37
2000/01/26,$100 notes,11029.61
2000/02/23,$5 notes,383.05
2000/02/23,$10 notes,637.56
2000/02/23,$20 notes,1842.39
2000/02/23,$50 notes,10828.35
2000/02/23,$100 notes,10970.63
2000/03/29,$5 notes,384.11
2000/03/29,$10 notes,630.59
2000/03/29,$20 notes,1852.26
2000/03/29,$50 notes,10868.98
2000/03/29,$100 notes,11006.80
2000/04/26,$5 notes,404.48
2000/04/26,$10 notes,655.12
2000/04/26,$20 notes,2089.80
2000/04/26,$50 notes,11929.16
2000/04/26,$100 notes,11207.17
2000/05/31,$5 notes,388.29
2000/05/31,$10 notes,630.76
2000/05/31,$20 notes,1883.34
2000/05/31,$50 notes,10973.22
2000/05/31,$100 notes,11148.66
2000/06/28,$5 notes,394.83
2000/06/28,$10 notes,643.64
2000/06/28,$20 notes,1891.37
2000/06/28,$50 notes,11073.82
2000/06/28,$100 notes,11221.76
2000/07/26,$5 notes,395.70
2000/07/26,$10 notes,640.87
2000/07/26,$20 notes,1900.16
2000/07/26,$50 notes,11226.75
2000/07/26,$100 notes,11316.21
2000/08/30,$5 notes,400.15
2000/08/30,$10 notes,642.15
2000/08/30,$20 notes,1938.88
2000/08/30,$50 notes,11384.13
2000/08/30,$100 notes,11376.95
2000/09/27,$5 notes,404.20
2000/09/27,$10 notes,647.11
2000/09/27,$20 notes,1971.41
2000/09/27,$50 notes,11700.24
2000/09/27,$100 notes,11522.72
2000/10/25,$5 notes,401.22
2000/10/25,$10 notes,643.23
2000/10/25,$20 notes,1936.40
2000/10/25,$50 notes,11623.46
2000/10/25,$100 notes,11566.10
2000/11/29,$5 notes,407.81
2000/11/29,$10 notes,645.65
2000/11/29,$20 notes,1951.36
2000/11/29,$50 notes,11781.47
2000/11/29,$100 notes,11655.54
2000/12/27,$5 notes,436.01
2000/12/27,$10 notes,677.88
2000/12/27,$20 notes,2229.64
2000/12/27,$50 notes,13135.25
2000/12/27,$100 notes,11991.03
2001/01/31,$5 notes,411.33
2001/01/31,$10 notes,626.21
2001/01/31,$20 notes,1935.64
2001/01/31,$50 notes,11874.30
2001/01/31,$100 notes,11698.85
2001/02/28,$5 notes,422.31
2001/02/28,$10 notes,638.36
2001/02/28,$20 notes,1930.48
2001/02/28,$50 notes,11780.43
2001/02/28,$100 notes,11675.32
2001/03/28,$5 notes,421.72
2001/03/28,$10 notes,656.57
2001/03/28,$20 notes,1951.76
2001/03/28,$50 notes,11719.06
2001/03/28,$100 notes,11787.12
2001/04/25,$5 notes,432.77
2001/04/25,$10 notes,665.05
2001/04/25,$20 notes,2044.91
2001/04/25,$50 notes,12157.74
2001/04/25,$100 notes,11913.80
2001/05/30,$5 notes,425.22
2001/05/30,$10 notes,652.62
2001/05/30,$20 notes,1969.66
2001/05/30,$50 notes,11814.28
2001/05/30,$100 notes,11892.72
2001/06/27,$5 notes,428.85
2001/06/27,$10 notes,657.43
2001/06/27,$20 notes,1981.77
2001/06/27,$50 notes,11886.93
2001/06/27,$100 notes,11935.73
2001/07/25,$5 notes,429.22
2001/07/25,$10 notes,657.95
2001/07/25,$20 notes,1984.40
2001/07/25,$50 notes,12030.92
2001/07/25,$100 notes,12031.78
2001/08/29,$5 notes,444.51
2001/08/29,$10 notes,667.56
2001/08/29,$20 notes,2040.84
2001/08/29,$50 notes,12212.76
2001/08/29,$100 notes,12068.51
2001/09/26,$5 notes,468.72
2001/09/26,$10 notes,694.10
2001/09/26,$20 notes,2174.08
2001/09/26,$50 notes,13294.37
2001/09/26,$100 notes,12257.87
2001/10/31,$5 notes,511.41
2001/10/31,$10 notes,771.81
2001/10/31,$20 notes,2722.97
2001/10/31,$50 notes,14554.36
2001/10/31,$100 notes,12653.69
2001/11/28,$5 notes,544.35
2001/11/28,$10 notes,822.25
2001/11/28,$20 notes,2887.32
2001/11/28,$50 notes,15109.55
2001/11/28,$100 notes,12900.75
2001/12/26,$5 notes,564.38
2001/12/26,$10 notes,849.46
2001/12/26,$20 notes,3035.74
2001/12/26,$50 notes,16053.48
2001/12/26,$100 notes,13207.77
2002/01/30,$5 notes,557.43
2002/01/30,$10 notes,832.67
2002/01/30,$20 notes,2992.87
2002/01/30,$50 notes,15658.49
2002/01/30,$100 notes,13117.81
2002/02/27,$5 notes,541.43
2002/02/27,$10 notes,800.66
2002/02/27,$20 notes,2872.86
2002/02/27,$50 notes,15038.46
2002/02/27,$100 notes,13017.80
2002/03/27,$5 notes,548.44
2002/03/27,$10 notes,808.66
